"","7/7/2013","7/14/2013","7/21/2013","7/28/2013","8/4/2013","8/11/2013","8/18/2013","8/25/2013","9/1/2013","9/8/2013","9/15/2013","9/22/2013","9/29/2013","10/6/2013","10/13/2013","10/20/2013","10/27/2013","11/3/2013","11/10/2013","11/17/2013","11/24/2013","12/1/2013","12/8/2013","12/15/2013","12/22/2013","12/29/2013","1/5/2014","1/12/2014","1/19/2014","1/26/2014","2/2/2014","2/9/2014","2/16/2014","2/23/2014","3/2/2014","3/9/2014","3/16/2014","3/23/2014","3/30/2014","4/6/2014","4/13/2014","4/20/2014","4/27/2014","5/4/2014","5/11/2014","5/18/2014","5/25/2014","6/1/2014","6/8/2014","6/15/2014","6/22/2014","6/29/2014"
"AL",23,22,22,22,21,23,19,21,25,28,26,26,26,25,27,27,35,37,33,39,33,34,NA,NA,36,27,NA,42,NA,38,32,32,27,33,NA,34,39,41,33,44,37,43,27,30,37,NA,NA,NA,NA,25,25,24
"AZ",27,27,NA,24,23,30,NA,27,29,29,33,41,55,32,30,30,30,27,28,29,28,24,26,28,29,27,28,30,30,28,28,26,35,33,27,28,33,31,28,32,33,30,41,29,31,30,33,45,46,37,28,28
"AR",24,26,27,20,20,NA,24,22,28,29,32,34,30,NA,28,27,32,NA,24,36,34,NA,NA,20,34,24,30,41,28,36,34,19,28,34,NA,NA,32,NA,23,28,27,26,27,29,31,23,26,17,19,18,NA,19
"CA",29,33,21,24,21,20,26,29,28,34,26,31,28,33,32,36,26,31,28,22,25,24,26,23,23,24,25,23,30,29,24,20,16,27,25,22,31,28,26,20,29,25,30,36,23,33,20,31,22,31,34,28
"CO",37,40,36,34,38,37,37,40,33,35,26,33,35,34,40,36,36,35,37,37,45,36,31,37,32,30,36,43,35,48,45,55,37,32,41,45,42,37,35,29,42,38,33,39,33,42,34,35,38,40,38,40
"CT",26,NA,35,35,32,40,38,36,38,NA,NA,43,35,38,37,37,39,35,28,44,34,25,30,24,29,34,38,NA,27,NA,39,41,37,33,40,46,NA,38,32,NA,31,34,34,32,33,32,31,36,32,25,32,29
"DE",18,18,23,20,21,18,25,24,24,25,28,30,27,27,21,23,30,32,29,32,25,28,24,20,32,31,23,34,31,20,NA,21,15,29,26,29,35,28,29,25,32,27,32,22,24,28,28,26,29,22,23,24
"FL",NA,15,15,17,15,18,17,14,17,16,20,16,19,15,25,20,30,24,26,30,20,30,24,28,30,31,20,37,32,27,25,31,27,25,25,27,25,26,26,28,25,25,21,24,23,28,26,15,17,17,NA,NA
"GA",18,21,21,20,19,20,22,20,23,21,23,23,21,25,28,26,31,34,31,39,36,29,22,33,36,25,31,33,31,37,29,34,30,36,39,37,35,34,32,41,30,30,30,26,33,32,27,28,26,23,23,22
"ID",44,40,42,49,46,47,52,41,41,44,37,42,35,37,40,34,44,41,40,46,34,34,38,27,27,26,31,29,25,31,25,22,21,18,30,31,30,35,42,24,39,40,38,40,25,35,39,39,36,37,36,37
"IL",28,27,29,26,26,27,29,29,31,34,31,28,34,33,35,31,29,30,29,34,34,25,NA,24,28,34,38,29,31,40,43,29,30,25,28,26,27,28,32,39,34,NA,NA,32,34,35,34,27,22,26,24,24
"IN",18,22,20,23,26,19,24,29,27,28,30,29,30,18,33,28,24,30,28,26,20,22,35,19,19,18,42,23,21,37,32,22,35,23,29,33,29,32,26,31,33,41,28,22,32,26,27,29,26,31,NA,22
"IA",25,27,30,28,26,25,28,NA,NA,32,33,34,32,33,31,26,27,30,32,40,22,26,30,18,21,44,33,24,34,50,50,24,32,22,34,27,34,39,32,48,37,32,32,28,29,29,29,21,22,28,NA,NA
"KS",28,33,25,30,24,26,21,25,30,32,27,32,32,40,31,35,32,32,26,35,32,32,31,34,43,36,31,32,35,45,45,25,41,36,33,31,40,37,39,42,42,51,40,42,41,36,38,28,26,29,23,27
"KY",23,29,24,30,23,25,26,26,26,NA,38,28,29,30,33,20,29,25,33,29,27,NA,34,23,33,31,27,39,28,30,38,19,23,35,30,29,40,36,32,32,33,NA,NA,25,32,25,27,31,29,27,25,26
"LA",25,31,22,NA,24,23,27,28,24,24,27,25,27,23,29,24,33,26,NA,32,28,35,40,23,37,24,NA,31,36,37,31,34,34,NA,29,39,30,33,34,29,31,40,NA,33,30,28,29,28,20,24,19,21
"ME",24,28,25,28,23,26,26,22,NA,NA,NA,NA,NA,NA,23,20,24,25,36,23,26,24,20,26,26,20,28,38,15,33,34,19,25,22,27,31,24,23,32,22,27,27,23,18,26,32,20,NA,NA,NA,NA,NA
"MD",17,20,21,21,23,24,27,25,23,28,24,26,27,NA,NA,NA,25,27,31,32,25,18,24,17,33,34,24,41,30,28,39,30,18,40,26,29,46,29,22,32,30,36,31,29,34,30,28,29,25,22,23,22
"MA",23,20,26,25,28,30,29,33,30,32,32,38,33,34,33,30,33,32,33,33,30,24,26,20,33,27,33,48,23,27,27,38,36,32,36,43,28,28,27,36,36,36,35,24,32,36,33,34,30,27,34,28
"MI",20,NA,NA,25,28,25,NA,33,NA,31,34,30,33,23,33,24,24,34,21,27,21,17,29,15,23,21,20,34,17,20,25,23,34,23,30,36,36,24,25,34,34,40,36,30,40,29,31,38,33,36,23,23
"MN",27,29,30,NA,28,28,32,35,29,35,30,27,32,26,29,30,31,22,25,30,46,23,18,21,33,48,34,38,45,45,31,31,34,28,39,30,32,31,22,28,38,41,31,22,34,34,36,33,26,29,25,24
"MS",NA,22,25,21,22,19,21,21,27,NA,NA,30,27,NA,NA,NA,NA,NA,30,36,NA,NA,NA,NA,NA,40,34,NA,41,51,37,30,NA,39,38,51,NA,NA,NA,NA,27,45,NA,NA,31,28,NA,NA,23,30,27,27
"MO",25,24,23,21,NA,18,21,21,22,27,26,26,27,NA,28,24,31,31,31,41,33,29,32,33,35,25,35,37,34,44,46,26,26,41,25,37,43,34,39,40,37,36,32,31,36,32,26,21,22,23,21,22
"NV",40,36,34,34,38,NA,30,29,NA,NA,NA,NA,50,47,40,30,28,32,28,26,21,23,30,29,27,25,23,25,27,27,NA,NA,28,38,26,30,28,32,29,27,35,34,32,37,32,31,NA,43,31,46,38,35
"NH",27,28,29,28,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NJ",10,13,18,11,14,13,11,12,14,18,14,15,22,20,12,14,16,20,16,19,20,28,16,21,18,17,23,37,21,25,21,15,18,17,18,25,28,24,15,17,16,22,20,14,23,17,23,15,14,23,16,12
"NM",37,36,33,34,36,37,41,34,33,40,29,36,45,NA,NA,NA,40,39,40,42,31,30,28,40,33,NA,NA,35,42,39,38,36,42,43,45,40,50,43,48,40,47,52,42,50,49,49,43,46,45,49,49,45
"NY",NA,NA,NA,NA,NA,NA,31,NA,NA,NA,36,37,35,37,41,27,34,30,27,36,24,25,21,18,30,39,31,42,22,26,40,36,43,61,29,34,NA,30,35,40,49,40,45,35,36,NA,NA,NA,38,37,NA,NA
"NC",15,17,20,26,25,22,20,24,22,25,29,26,26,27,18,27,35,33,38,40,33,27,31,28,33,28,25,35,32,36,39,35,25,32,31,35,32,35,26,34,32,39,34,30,37,29,28,25,26,26,27,23
"ND",NA,NA,27,NA,23,22,27,34,36,37,32,22,NA,32,32,24,28,24,28,NA,31,NA,NA,35,31,34,40,40,NA,40,29,24,34,28,32,27,24,NA,22,26,36,18,39,NA,24,30,26,36,36,29,30,23
"OH",20,28,35,35,26,25,26,28,32,40,29,30,33,24,33,24,31,28,26,25,23,20,32,20,23,24,28,30,33,27,33,26,39,28,29,29,29,33,23,36,34,42,39,24,30,29,31,29,32,28,34,27
"OR",43,43,49,47,40,39,40,42,42,39,NA,NA,27,43,39,41,43,34,22,27,34,34,30,28,24,27,28,37,29,38,36,27,31,35,36,30,41,44,45,28,43,39,37,49,30,43,33,40,45,45,39,38
"PA",22,20,27,27,24,26,29,30,22,32,31,34,35,32,27,29,32,31,26,32,29,23,24,20,29,31,39,48,31,20,26,30,27,29,30,28,33,33,28,36,40,33,39,31,32,33,35,33,33,32,34,24
