"","7/7/2013","7/14/2013","7/21/2013","7/28/2013","8/4/2013","8/11/2013","8/18/2013","8/25/2013","9/1/2013","9/8/2013","9/15/2013","9/22/2013","9/29/2013","10/6/2013","10/13/2013","10/20/2013","10/27/2013","11/3/2013","11/10/2013","11/17/2013","11/24/2013","12/1/2013","12/8/2013","12/15/2013","12/22/2013","12/29/2013","1/5/2014","1/12/2014","1/19/2014","1/26/2014","2/2/2014","2/9/2014","2/16/2014","2/23/2014","3/2/2014","3/9/2014","3/16/2014","3/23/2014","3/30/2014","4/6/2014","4/13/2014","4/20/2014","4/27/2014","5/4/2014","5/11/2014","5/18/2014","5/25/2014","6/1/2014","6/8/2014","6/15/2014","6/22/2014","6/29/2014"
"AL",656,614,640,549,638,888,982,1145,1044,801,825,1064,1111,1242,1291,1426,1463,1758,1998,1818,2415,2814,3594,6623,8229,6653,4017,3969,2763,2059,1915,1848,1327,2884,2601,1643,1573,1521,1242,1195,1006,1314,868,1046,828,1046,1135,848,748,732,580,593
"AZ",800,829,846,1057,960,937,1117,1129,1205,1321,1272,1510,1599,1349,1458,1615,1603,1486,1686,1545,1769,1861,2082,2581,3672,4297,5164,5208,5719,5157,4589,3907,3079,2433,2087,1845,1760,2036,1534,2149,2402,2317,2258,2026,2192,2331,1954,1352,1243,1250,1087,883
"AR",1444,1391,1349,1140,1286,1382,1401,1442,2019,2215,1853,2013,1968,1947,1935,2690,2424,2296,2572,2742,3372,3177,3286,5980,7296,9925,8856,9489,9935,7677,5264,5362,3479,3349,2423,2269,1930,1756,2023,2113,1820,1816,1982,1635,1514,1494,1536,1402,1359,1303,1144,1140
"CA",976,902,1006,1021,1042,1167,1110,1201,1241,1310,1407,1490,1514,1549,1506,1624,1682,1777,1868,1621,1675,1836,2125,2961,4351,5776,6201,6007,5559,4662,3582,2921,2468,1969,1825,1782,1658,1611,1603,1746,1543,1499,1611,1542,1470,1399,1746,1505,1408,1370,1411,1351
"CO",295,303,362,283,270,332,380,423,502,441,459,524,534,714,659,593,614,637,687,765,805,1219,1473,2474,3369,3354,3136,2495,1967,1651,1350,1093,885,1059,776,864,982,860,648,693,691,693,689,548,713,768,885,498,551,391,414,516
"CT",324,336,343,395,352,388,321,342,382,456,532,500,677,478,635,595,520,681,587,674,634,761,662,892,1658,1885,2169,2651,2321,2109,2117,1581,1220,1236,1423,1377,1256,1497,1407,1486,1373,980,797,880,804,317,199,356,517,439,377,379
"DE",1231,1157,1216,946,922,920,1013,1041,1071,1304,1451,1357,1468,1416,1309,1363,1406,1383,1570,1561,1975,1981,1882,1815,1965,2719,3162,3946,3389,3482,3154,3329,2903,2552,2346,2264,2186,2111,2296,2347,2485,2326,2055,1969,1905,1855,1627,1626,1495,1378,1353,1357
"FL",759,743,780,705,698,715,874,802,997,1137,1060,1157,1250,1474,1490,1457,1569,1760,1676,1798,1707,1809,1965,2620,3191,3226,3017,3024,3096,3159,2553,2143,1914,1685,1815,1415,1562,1327,1452,1481,1235,1325,1271,1318,1267,1135,1201,1196,1162,1016,972,940
"GA",733,714,805,554,547,544,858,920,888,1046,931,1101,920,1129,1185,1313,1249,1387,1828,1895,2394,3002,2936,4826,6227,4835,3436,3079,2858,2357,2098,1570,1420,1307,1100,1142,1103,1157,984,926,913,969,1059,862,992,894,957,663,647,584,596,586
"ID",748,721,695,657,685,699,705,673,815,937,904,879,1002,1154,867,925,1190,1302,1236,1225,1198,2088,1989,3168,5163,5923,5914,4644,3501,2295,2501,1568,1475,1348,1128,886,803,908,936,849,811,671,797,896,924,906,1006,1016,891,948,979,989
