"","fixed acidity","volatile acidity","citric acid","sugar","chlorides","free sulfur","total sulfur","density","pH","sulphates","alcohol"
"1375",6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8
"1044",9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9
"796",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2
"379",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3
"585",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7
"396",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13
"918",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1
"924",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1
"691",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7
"39",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8
"46",4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1
"634",10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3
"1509",7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6
"927",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2
"837",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7
"838",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7
"983",7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9
"495",6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1
"696",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8
"640",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3
"416",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3
"1187",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6
"199",5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13
"685",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4
"926",8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11
"511",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5
"1296",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5
"1297",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5
"1313",8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5
"410",12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6
"494",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6
"500",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6
"1257",7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2
"391",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9
"609",10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4
"557",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7
"559",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7
"341",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2
"456",11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4
"502",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12
"503",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12
"1590",6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2
"241",8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3
"539",12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12
"1359",7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
"145",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
"1271",5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14
"182",8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3
"1270",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14
"1072",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2
"1075",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2
"1571",6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4
"999",8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1
